emojiname,emojicode
"man_student","\\ud83d\\udc68\\u200D\\ud83c\\udf93"
"woman_student","\\ud83d\\udc69\\u200D\\ud83c\\udf93"
"teacher","\\ud83e\\uddd1\\u200D\\ud83c\\udfeb"
"man_teacher","\\ud83d\\udc68\\u200D\\ud83c\\udfeb"
"woman_teacher","\\ud83d\\udc69\\u200D\\ud83c\\udfeb"
"judge","\\ud83e\\uddd1\\u200D\\u2696\\uFE0F"
"man_judge","\\ud83d\\udc68\\u200D\\u2696\\uFE0F"
"woman_judge","\\ud83d\\udc69\\u200D\\u2696\\uFE0F"
"farmer","\\ud83e\\uddd1\\u200D\\ud83c\\udf3e"
"man_farmer","\\ud83d\\udc68\\u200D\\ud83c\\udf3e"
"woman_farmer","\\ud83d\\udc69\\u200D\\ud83c\\udf3e"
"cook","\\ud83e\\uddd1\\u200D\\ud83c\\udf73"
"man_cook","\\ud83d\\udc68\\u200D\\ud83c\\udf73"
"woman_cook","\\ud83d\\udc69\\u200D\\ud83c\\udf73"
"mechanic","\\ud83e\\uddd1\\u200D\\ud83d\\udd27"
"man_mechanic","\\ud83d\\udc68\\u200D\\ud83d\\udd27"
"woman_mechanic","\\ud83d\\udc69\\u200D\\ud83d\\udd27"
"factory_worker","\\ud83e\\uddd1\\u200D\\ud83c\\udfed"
"man_factory_worker","\\ud83d\\udc68\\u200D\\ud83c\\udfed"
"woman_factory_worker","\\ud83d\\udc69\\u200D\\ud83c\\udfed"
"office_worker","\\ud83e\\uddd1\\u200D\\ud83d\\udcbc"
"man_office_worker","\\ud83d\\udc68\\u200D\\ud83d\\udcbc"
"woman_office_worker","\\ud83d\\udc69\\u200D\\ud83d\\udcbc"
"scientist","\\ud83e\\uddd1\\u200D\\ud83d\\udd2c"
"man_scientist","\\ud83d\\udc68\\u200D\\ud83d\\udd2c"
"woman_scientist","\\ud83d\\udc69\\u200D\\ud83d\\udd2c"
"technologist","\\ud83e\\uddd1\\u200D\\ud83d\\udcbb"
"man_technologist","\\ud83d\\udc68\\u200D\\ud83d\\udcbb"
"woman_technologist","\\ud83d\\udc69\\u200D\\ud83d\\udcbb"
"singer","\\ud83e\\uddd1\\u200D\\ud83c\\udfa4"
"man_singer","\\ud83d\\udc68\\u200D\\ud83c\\udfa4"
"woman_singer","\\ud83d\\udc69\\u200D\\ud83c\\udfa4"
"artist","\\ud83e\\uddd1\\u200D\\ud83c\\udfa8"
"man_artist","\\ud83d\\udc68\\u200D\\ud83c\\udfa8"
"woman_artist","\\ud83d\\udc69\\u200D\\ud83c\\udfa8"
"pilot","\\ud83e\\uddd1\\u200D\\u2708\\uFE0F"
"man_pilot","\\ud83d\\udc68\\u200D\\u2708\\uFE0F"
"woman_pilot","\\ud83d\\udc69\\u200D\\u2708\\uFE0F"
"astronaut","\\ud83e\\uddd1\\u200D\\ud83d\\ude80"
"man_astronaut","\\ud83d\\udc68\\u200D\\ud83d\\ude80"
"woman_astronaut","\\ud83d\\udc69\\u200D\\ud83d\\ude80"
"firefighter","\\ud83e\\uddd1\\u200D\\ud83d\\ude92"
"man_firefighter","\\ud83d\\udc68\\u200D\\ud83d\\ude92"
"woman_firefighter","\\ud83d\\udc69\\u200D\\ud83d\\ude92"
"police_officer","\\ud83d\\udc6e"
"man_police_officer","\\ud83d\\udc6e\\u200D\\u2642\\uFE0F"
"woman_police_officer","\\ud83d\\udc6e\\u200D\\u2640\\uFE0F"
"detective","\\ud83d\\udd75"
"man_detective","\\ud83d\\udd75\\uFE0F\\u200D\\u2642\\uFE0F"
"woman_detective","\\ud83d\\udd75\\uFE0F\\u200D\\u2640\\uFE0F"
"guard","\\ud83d\\udc82"
"man_guard","\\ud83d\\udc82\\u200D\\u2642\\uFE0F"
